,A1,A2,A3,A4,A5,A1R,A2R,A3R,A4R,A5R,T,G,E
A1,0.0,0.53,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.1,0.0,0.12
A2,0.0,0.0,0.54,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.08,0.0,0.08
A3,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.2,0.0,0.0,0.04,0.0,0.1
A4,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.15,0.0,0.05,0.0,0.06
A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.02,0.75,0.03
A1R,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.2,0.0,0.21
A2R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.16,0.0,0.14
A3R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.745,0.0,0.08,0.0,0.175
A4R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.795,0.1,0.0,0.105
A5R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.9075,0.0525
T,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.6,0.0,0.15
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
