,S1,S2,S3,S4,S5,S6,S1R,S2R,S3R,S4R,S5R,S6R,G,E
S1,0.0,0.5753,0.0,0.0,0.0,0.0,0.3973,0.0,0.0,0.0,0.0,0.0,0.0,0.0274
S2,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.5104,0.0,0.0,0.0,0.0,0.0,0.1146
S3,0.0,0.0,0.0,0.477,0.0,0.0,0.0,0.0,0.4615,0.0,0.0,0.0,0.0,0.0615
S4,0.0,0.0,0.0,0.0,0.6383,0.0,0.0,0.0,0.0,0.3617,0.0,0.0,0.0,0.0
S5,0.0,0.0,0.0,0.0,0.0,0.8286,0.0,0.0,0.0,0.0,0.1714,0.0,0.0,0.0
S6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1142,0.7429,0.1429
S1R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9589,0.0,0.0,0.0,0.0,0.0,0.0411
S2R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8281000000000001,0.0,0.0,0.0,0.0,0.1719
S3R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9077500000000001,0.0,0.0,0.0,0.09225
S4R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0
S5R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
S6R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571,0.1429
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
