,A1,A2,A3,A4,A1R,A2R,A3R,A4R,A5R,A6R,G,E
A1,0.0,0.64,0.06,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.13
A2,0.0,0.0,0.75,0.08,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.07
A3,0.0,0.0,0.0,0.88,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.04
A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.61,0.02
A1R,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.13
A2R,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.07
A3R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.04
A4R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.61,0.02
A5R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185,0.795,0.02
A6R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.01
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
