,A1,A2,A3,A4,A1R,A2R,A3R,A4R,A5R,A6R,G,E
A1,0.085,0.7000000000000001,0.0,0.0,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.13
A2,0.0,0.05,0.8299999999999998,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.07
A3,0.0,0.0,0.04,0.8799999999999999,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04
A4,0.0,0.0,0.0,0.185,0.0,0.0,0.0,0.185,0.0,0.0,0.6099999999999999,0.02
A1R,0.0,0.0,0.0,0.0,0.10625000000000001,0.69875,0.0,0.0,0.0,0.0,0.0,0.195
A2R,0.0,0.0,0.0,0.0,0.0,0.0625,0.8325,0.0,0.0,0.0,0.0,0.10500000000000001
A3R,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.8899999999999999,0.0,0.0,0.0,0.06
A4R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23125,0.37,0.0,0.36874999999999997,0.03
A5R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185,0.185,0.6099999999999999,0.02
A6R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0925,0.8975,0.01
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
