,A1,A2,A3,A4,A5,A1R,A2R,A3R,A4R,A5R,A6R,A7R,G,E
A1,0.06,0.57,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
A2,0.0,0.05,0.57,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.08
A3,0.0,0.0,0.04,0.66,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1
A4,0.0,0.0,0.0,0.03,0.76,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.06
A5,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.75,0.03
A1R,0.0,0.0,0.0,0.0,0.0,0.09,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.21
A2R,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.785,0.0,0.0,0.0,0.0,0.0,0.14
A3R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.765,0.0,0.0,0.0,0.0,0.175
A4R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.85,0.0,0.0,0.0,0.105
A5R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.3,0.0,0.6175,0.0525
A6R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.2,0.76,0.03
A7R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.97,0.02
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
