,A1,A2,A3,A4,A5,A1R,A2R,A3R,A4R,A5R,A6R,A7R,G,E
A1,0.06,0.4775,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
A2,0.0,0.05,0.475,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.1
A3,0.0,0.0,0.04,0.585,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.125
A4,0.0,0.0,0.0,0.03,0.7075,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.075
A5,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.6925,0.0375
A1R,0.0,0.0,0.0,0.0,0.0,0.09,0.6475,0.0,0.0,0.0,0.0,0.0,0.0,0.2625
A2R,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.75,0.0,0.0,0.0,0.0,0.0,0.175
A3R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.7212,0.0,0.0,0.0,0.0,0.2188
A4R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.8238,0.0,0.0,0.0,0.1312
A5R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.3,0.0,0.6044,0.0656
A6R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.2,0.76,0.03
A7R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.97,0.02
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
