,A1,A2,A3,A4,A5,A1R,A2R,A3R,A4R,A5R,A6R,A7R,G,E
A1,0.07500000000000001,0.37,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
A2,0.0,0.06,0.34,0.0,0.0,0.0,0.44999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002
A3,0.0,0.0,0.045,0.5499999999999999,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.10500000000000001
A4,0.0,0.0,0.0,0.03,0.6699999999999999,0.0,0.0,0.0,0.22499999999999998,0.0,0.0,0.0,0.0,0.07500000000000001
A5,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.6249999999999999,0.045
A1R,0.0,0.0,0.0,0.0,0.0,0.09375000000000001,0.63625,0.0,0.0,0.0,0.0,0.0,0.0,0.27
A2R,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.7,0.0,0.0,0.0,0.0,0.0,0.22500000000000003
A3R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056249999999999994,0.78625,0.0,0.0,0.0,0.0,0.15750000000000003
A4R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.85,0.0,0.0,0.0,0.11250000000000002
A5R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.3,0.0,0.595,0.0675
A6R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.2,0.77,0.02
A7R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.98,0.01
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
