,A1,A2,A3,A4,A5,A1R,A2R,A3R,A4R,A5R,A6R,A7R,G,E
A1,0.05,0.6519999999999999,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048
A2,0.0,0.04,0.5599999999999999,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1
A3,0.0,0.0,0.03,0.7,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.07
A4,0.0,0.0,0.0,0.02,0.7799999999999999,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.05
A5,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.75,0.03
A1R,0.0,0.0,0.0,0.0,0.0,0.0625,0.9087,0.0,0.0,0.0,0.0,0.0,0.0,0.028800000000000006
A2R,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.7999999999999999,0.0,0.0,0.0,0.0,0.0,0.15000000000000002
A3R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.8575,0.0,0.0,0.0,0.0,0.10500000000000001
A4R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.9,0.0,0.0,0.0,0.07500000000000001
A5R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.3,0.0,0.6299999999999999,0.045
A6R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.2,0.77,0.02
A7R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.98,0.01
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
